josé mourinho	mourinho
629745527421210625	[Observador] José Mourinho renova com o Chelsea http://t.co/5EUMBpq6QR	485975606
630122537792335872	Soccer-Chelsea manager Jose Mourinho http://t.co/66e6VOrKCG	119715650
629803770155667456	Soccer-Chelsea manager Jose Mourinho http://t.co/qiFYJLnd2L	117388746
630328530107154432	Soccer-Chelsea manager Jose Mourinho http://t.co/oT34gqLg3h	119715650
629954365705490434	Soccer-Chelsea manager Jose Mourinho http://t.co/ZWWcpp5BoK	117388746
630384368985460736	RT @LordSnow: "Jose Mourinho sends his regards." - Cech to Wenger	739309368
630334797936627712	Soccer-Chelsea manager Jose Mourinho http://t.co/HazVRqkBSA	117388746
632958201655369728	RT @goonerdeybor: Typical third season from Jose Mourinho.	182829291
621357913135824896	RT @lwtkittens: #GrowingUpPortuguese Cristiano Ronaldo and José Mourinho.	859879945
621357932727390208	RT @lwtkittens: #GrowingUpPortuguese Cristiano Ronaldo and José Mourinho.	859879945
625996390775140354	Pinto da Costa responde a José Mourinho http://t.co/VQbxiGrs61	229821499
626499988298833921	RT @lacarabfutbol: Rafa Benítez vs José Mourinho. https://t.co/n0jY0ZvRbL	131488467
626318352051531776	RT @SVilarino: " Gordo, controla a tu zorra", José Mourinho.	21099787
626499186213691392	RT @lacarabfutbol: Rafa Benítez vs José Mourinho. https://t.co/n0jY0ZvRbL	18734645
611290351794585602	RT @WillianElastico: Jose Mourinho, what a man. http://t.co/Xp4oqlfM86	115598495
645245198788857856	Vitória importantíssima para José Mourinho http://t.co/q8CKgOfVd1	21103366
644843230366973952	RT @Mourinholic: Arsene Wenger v Jose Mourinho. http://t.co/qjcvUUE5ZH	81255378
637982358201847808	RT @TeamCRonaldo: José Mourinho, you genius😂 http://t.co/Btp90cwJmv	151839326
639412431534428160	[Record] José Mourinho começa mal http://t.co/Di5TApBBc9 #desporto	485975606
638395927200419840	RT @TeamCRonaldo: José Mourinho, you genius😂 http://t.co/Btp90cwJmv	417429452
643811080117035008	@PortuGoal1 Rui Vitoria, Paulo Sousa, Jose Mourinho, AVB, Domingos Paciencia	1118762142
637771313185181701	RT @GeniusFootball: That's Jose Mourinho for you.. http://t.co/87nrLTsvYO	56696878
642014150516998149	RT @PurelyFootball: Will Ferrell trolling Jose Mourinho. http://t.co/M8S4Zt6yZV	539391152
642012907102932992	RT @PurelyFootball: Will Ferrell trolling Jose Mourinho. http://t.co/M8S4Zt6yZV	76208548
