galp	2014-04-17	68	lisboa 
futebol_porto	2015-03-19	239	futebol porto sobre 
benfica	2014-10-14	139	video 
tvi	2015-09-20	214	anos sobre 
lisboa	2015-01-24	1	nada melhor 
algarve	2015-03-30	0	via 
pt	2014-08-10	0	via 
benfica	2015-08-01	337	carregabenfica 
rui_vitoria	2014-12-04	348	vitoria rui 
pt	2014-08-18	307	diz 
alentejo	2015-07-21	40	ano vou 
tvi	2014-08-03	113	ver agora 
edp	2015-10-03	444	passos 
tvi	2015-09-10	267	vai 
sporting	2014-01-28	467	ir 
bes	2015-05-16	71	espirito santo 
passos_coelho	2015-09-08	96	pais bem porque coelho passos portugal 
ruben_neves	2015-10-13	75	bruno 
observador	2014-05-22	357	carvalho vai 
italia	2014-08-20	85	nada ano 
lionel_messi	2014-02-17	189	pinto bruno carvalho costa 
publico	2014-01-25	462	futebol todos 
rui_vitoria	2015-06-07	44	dizer vitoria rui tudo benfica 
futebol_porto	2015-10-20	62	futebol jogo sempre anos porto 
cavaco_silva	2015-09-03	80	jose silva fazer 
jeronimo_sousa	2015-11-07	195	jeronimo ps agora sousa vai costa 
jorge_mendes	2014-01-29	33	dizer pode mendes bem jorge 
meo	2015-03-30	97	ano vou 
jose_socrates	2014-08-17	95	antonio costa 
sic	2014-12-06	123	pais noticias 
lionel_messi	2015-09-05	430	ronaldo 
jorge_mendes	2014-06-21	4	bento mendes vai paulo jorge 
jose_mourinho	2014-08-24	114	porto portugal 
alentejo	2014-02-25	474	via portugal 
madrid	2014-08-25	296	amp real cristiano 
joao_moutinho	2014-04-30	374	nada contra joao ainda 
jose_socrates	2014-12-28	313	antonio ver costa 
observador	2015-02-27	209	sobre diz 
vodafone	2014-03-05	160	la 
jorge_jesus	2015-09-13	221	jesus jorge 
jorge_mendes	2014-08-18	70	es mendes anos jorge 
antonio_costa	2014-09-12	167	antonio dizer bem costa 
bruno_de_carvalho	2014-04-19	415	bruno carvalho 
continente	2014-10-12	205	la 
zara	2014-08-31	108	fazer 
paris	2015-01-17	163	en el 
madrid	2014-04-03	160	la cristiano 
inglaterra	2015-04-09	458	desporto 
lionel_messi	2014-12-30	91	ronaldo cristiano 
meo	2014-12-16	57	ainda 
donald_trump	2015-10-25	38	nada bem agora vai 
observador	2015-09-01	401	vai 
edp	2014-12-03	256	lisboa 
ruben_neves	2015-11-05	150	sobre 
alemanha	2015-10-17	40	contra 
sporting	2015-09-18	52	benfica jesus 
tvi	2015-02-02	199	sempre 
alemanha	2015-10-04	59	ps 
madrid	2015-11-17	24	es real en el la cristiano 
paulo_portas	2015-06-05	317	portas antonio ainda paulo 
madrid	2014-09-22	88	real el la cristiano 
nos	2014-05-06	76	aqui 
paulo_portas	2014-11-26	14	ano portas paulo 
jorge_jesus	2015-04-22	128	carregabenfica jesus jorge 
galp	2014-10-07	250	martins jeronimo 
ruben_neves	2015-08-02	231	fcporto 
partido_socialista	2014-01-09	307	bem 
barack_obama	2014-02-13	83	diz 
jorge_jesus	2014-06-18	278	jesus vai jorge 
benfica	2014-07-03	137	mundo porque carregabenfica melhor 
nos	2014-04-12	353	nada vai 
inglaterra	2015-10-11	257	futebol 
iker_casillas	2014-11-26	10	en santo el la 
dn	2015-06-29	55	tao jose ps 
italia	2015-05-02	209	sobre 
jorge_mendes	2014-04-16	22	ronaldo mendes vai jorge 
passos_coelho	2014-04-09	200	coelho sobre diz passos 
acores	2015-10-05	334	futebol 
jeronimo_sousa	2015-09-28	127	jeronimo sousa 
nos	2014-06-07	82	es bem 
cavaco_silva	2015-04-21	6	quer ps todos costa 
vladimir_putin	2015-05-22	230	coelho passos 
luis_figo	2014-08-23	23	cristiano 
sic	2014-05-20	94	lisboa 
paulo_bento	2015-03-03	59	presidente video bento passos paulo 
jose_mourinho	2015-05-02	394	jose 
partido_comunista	2014-07-24	11	pode ps joao vai 
publico	2015-09-15	0	via 
antonio_costa	2014-08-26	101	antonio sobre ainda costa 
alemanha	2014-07-12	315	diz 
futebol_porto	2014-02-14	8	grande benfica paulo 
julen_lopetegui	2014-05-11	121	rui jorge portugal 
sporting	2014-07-04	145	pode 
futebol_porto	2015-08-08	256	futebol novo porto 
espanha	2014-07-03	148	novo todos 
jorge_jesus	2014-02-02	243	jesus sobre jorge 
acores	2014-07-11	196	sobre 
futebol_porto	2015-05-29	258	benfica portugal 
barack_obama	2014-10-31	192	amp 
lionel_messi	2015-05-09	386	cristiano 
jose_socrates	2015-03-15	123	jose ainda portugal 
passos_coelho	2014-01-27	233	anos coelho diz passos 
espanha	2015-08-09	21	portugal 
futebol_porto	2015-07-17	283	fcportoworld 
publico	2014-09-26	475	ano 
jose_socrates	2015-09-02	87	tudo bem sobre 
ruben_neves	2014-12-03	15	fcporto diz 
paulo_bento	2014-07-13	183	bento contra diz paulo 
alentejo	2015-02-28	170	ainda 
lisboa	2014-05-13	358	vou tudo 
italia	2014-10-01	77	portugal 
antonio_costa	2015-03-24	271	antonio costa 
rui_vitoria	2015-07-27	348	vitoria rui benfica ainda 
luis_figo	2014-01-04	430	ronaldo 
eusebio	2014-05-01	240	desporto 
lisboa	2014-12-09	469	benfica 
zara	2015-05-17	144	novo 
continente	2014-05-16	499	novo 
iker_casillas	2015-08-17	283	fcportoworld jogo fcporto porto 
partido_socialista	2014-01-23	224	coelho ainda passos 
benfica	2015-07-18	36	futebol desporto porto 
madrid	2014-06-16	451	cristiano 
russia	2014-02-25	137	carregabenfica paulo 
nos	2014-03-15	277	ir la 
zara	2014-11-06	79	quer todos 
sic	2015-02-14	129	jose joao grande ver diz 
partido_comunista	2014-06-14	0	via 
sic	2014-04-23	18	joao sousa paulo 
jose_mourinho	2015-02-12	159	contra 
jeronimo_sousa	2014-10-24	250	jeronimo ps sousa 
pingo_doce	2015-07-12	162	doce pingo 
tvi	2014-04-06	241	lisboa 
marcelo_rebelo_sousa	2015-10-25	73	marcelo jornal rebelo futebol sousa 
inglaterra	2014-04-12	467	ir 
rtp	2015-08-12	127	fazer diz 
correio_manha	2014-07-09	33	jogo mendes porto benfica sobre jorge 
luis_figo	2015-02-27	218	santo 
pinto_da_costa	2014-09-26	25	porque pinto porto costa 
dn	2015-11-04	209	sobre 
publico	2015-03-08	105	presidente marcelo passos 
bruno_de_carvalho	2015-10-19	107	desporto bruno carvalho benfica vai 
