passos_coelho,2015-08-16,pontal,hino,24,despesa,recordar,viver,grecia,eleicoes,governo,tbribeiro,horas,discurso,mudar,acabou,mallopes,psd,pensar,merkel,2011,hora
passos_coelho,2015-02-17,alemaes,olhos,fernandes,gabinete,11,ferreira,sondagens,orgulhopsd,pfl1976,lol,paulo,portas,crianca,rasparg,mario,soares,fala,sharethis,externa,goza
paulo_bento,2015-03-24,avaliacao,vip,passada,convocou,epoca,comentario,paulobento,encontro,zerozeropt,tsipras,selecionador,durante,lista,merkel,santos,fernando,video,portugal
paulo_bento,2014-09-24,gomes,fernando,condicoes,santos,volta,saida,jtfigueiredo,dar,fpf,sms,selecao,elogios,impressao,espanhol,situacao,nani,desporto,veio,chamar,breaking
passos_coelho,2014-09-14,problema,epa,nega,vida,lado,bes,pedrosales,viseu,demonstrar,artigo,cantar,comeco,pode,serem,administracao,pe,ruicruz,entrar,deputados,ministra
paulo_bento,2014-04-06,evitar,assume,trabalhar,selecionador,fdx,vaite,tempos,embora,mau,portugal,correio,manha,tao,tempo,dnoticias
passos_coelho,2014-09-15,banco,novo,mostra,sns,venda,governo,35,servico,carlos,costa,video,prazo,antonio,assuntos,discursar,ameaca,ferreiramcf,homenagem,pec,gato
passos_coelho,2014-03-27,membros,sobre,cortes,natural,evitar,familia,cinco,visao,pensoes,jn,portugues,daniel,penteado,juro,milhoes,portugal,pensadorzarolho,oliveira,todos,joaogalamba
paulo_bento,2015-08-28,cavaleiro,captomente,qd,joga,equipa,benfica,selecao,lica,agora,saudades,andre,almeida,portugueses,substituicao,convoca,importancia,moutinho,pa,perdeu,europeia
paulo_bento,2014-07-01,joga,burro,eua,bancadadeleao,es,pior,fazer,nada,equipas,estados,unidos,selecaoportugal,vergonha,deve,banco,seleccao,start,mediocre,didnt,curso
passos_coelho,2014-07-28,natalidade,discursos,resultado,ocaodanado,medidas,mau,falta,tao,socrates,dizer,primeiroministro
passos_coelho,2014-04-02,intencao,cortes,salarios,pensoes,historia,relacoes,gosta,todas,margvs,gabinete,jornalnoticias,veio,pedro,palavra,zorgabor,tira,seguro,numeros,numero,inimigo
passos_coelho,2015-01-12,paris,entrou,policia,manifestacao,viu,lisboa,espera,entra,ronaldo,mundo,terrorismo,inimigo,cristiano,liberdade,aumentar,deixar,ouro,impostos,fifa,bola
passos_coelho,2014-07-05,rejeita,despesa,estado,nivel,intervencao,comecou,social,ideia,razao,maior,crise,tvi24noticias,bes,divida,altura,nesta,negocios,tudo,espirito,santo
paulo_bento,2014-09-29,tudo,opcao,ahahah,bem,luissobral,chamado,manuel,alguns,contrario,informacao,questao,gomes,jogadores,outra,fernando,caso,jose,bom,rtp,hoje
