expresso,2014-10-18,noticias,diz,ano,joao,amp,vitoria,mendes,nada,governo,fcporto
paulo_bento,2014-04-01,porque,vez,grande,jeronimo,desporto,el,bruno,pingo,novo,cristiano
continente,2014-11-09,pode,cristiano,es,paulo,el,joao,del,jogo,grande,espirito
barack_obama,2014-05-09,jogo,agora,es,joao,bento,pode,antonio,novo,costa,jesus
futebol_porto,2014-01-02,portas,diz,hoje,novo,jornal,fazer,tao,aqui,ver,contra
russia,2014-09-27,paulo,sporting,real,ps,coelho,nada,governo,jogo,passos,la
jorge_jesus,2015-05-07,santo,melhor,portas,la,mundo,del,fazer,costa,vai,rebelo
zara,2015-04-16,tudo,vai,santo,pinto,vitoria,anos,quer,diario,jesus,paulo
jeronimo_sousa,2015-05-04,mundo,novo,dia,fazer,tudo,carvalho,diario,ver,rui,todos
siria,2015-10-11,carvalho,fazer,ano,noticias,melhor,porque,dizer,ainda,nada,vai
portugal,2015-02-25,vez,paulo,fcportoworld,contra,sporting,grande,jorge,sempre,ronaldo,ainda
benfica,2015-08-10,benfica,mundo,passos,diz,contra,tao,melhor,sempre,portas,todos
paulo_portas,2015-02-09,noticias,mundo,carregabenfica,diario,catarina,bento,en,bruno,jesus,vou
alentejo,2014-08-27,diz,ano,sempre,todos,sobre,tao,jornal,fazer,costa,video
paulo_portas,2014-01-17,ir,sporting,fcporto,lisboa,sempre,ronaldo,rebelo,bruno,pais,porque
porto,2014-07-25,jeronimo,noticias,fazer,es,costa,antonio,vitoria,el,rui,nada
rtp,2014-07-22,porque,jesus,vou,tudo,pinto,sousa,benfica,contra,vez,vai
partido_comunista,2015-04-19,diz,jesus,catarina,joao,tao,anos,coelho,bem,amp,carregabenfica
acores,2015-05-05,del,noticias,antonio,melhor,bruno,porto,marcelo,espirito,vou,video
jose_mourinho,2015-08-09,novo,sporting,doce,pinto,paulo,ronaldo,rebelo,santo,martins,sousa
madrid,2014-01-29,bento,porto,pingo,cristiano,carregabenfica,agora,santo,vitoria,vez,rebelo
julen_lopetegui,2015-08-03,jesus,carregabenfica,portugal,grande,agora,fcportoworld,anos,jogo,fazer,carvalho
espanha,2014-08-25,desporto,carvalho,ps,vai,es,novo,bento,coelho,espirito,joao
londres,2015-08-23,pinto,jorge,quer,governo,porto,ainda,lisboa,ano,video,antonio
italia,2014-01-27,tudo,bruno,vez,antonio,governo,mundo,joao,contra,real,mendes
correio_manha,2015-01-15,agora,pinto,real,catarina,del,diz,doce,silva,porto,nada
pinto_da_costa,2015-10-06,porque,jogo,lisboa,ano,rui,jeronimo,en,bruno,la,pinto
portugal,2015-06-12,contra,dia,jornal,grande,pais,jose,porque,passos,tudo,bento
zara,2015-02-25,jeronimo,hoje,governo,bruno,sporting,video,aqui,vitoria,ps,vou
bruno_de_carvalho,2014-04-30,amp,sobre,carregabenfica,vou,agora,jorge,grande,mendes,pode,benfica
meo,2014-10-03,ir,passos,jose,dizer,vai,amp,agora,portas,jogo,rebelo
cristiano_ronaldo,2014-07-15,ps,quer,pinto,noticias,sobre,portugal,silva,lisboa,vitoria,bento
sic,2014-03-09,governo,hoje,novo,tudo,pais,dizer,real,pinto,paulo,vez
espanha,2015-06-12,fcporto,contra,porto,vez,marcelo,santo,jeronimo,vai,rebelo,diz
bes,2015-10-20,fazer,passos,real,porque,jose,paulo,grande,agora,santo,pingo
paulo_bento,2015-09-16,rui,martins,grande,sousa,amp,bento,fazer,del,novo,catarina
partido_social_democrata,2014-07-18,carvalho,novo,real,jose,ainda,amp,sousa,nada,lisboa,vez
jeronimo_sousa,2014-07-19,real,ps,ano,jose,del,bruno,ver,la,diario,ainda
marcelo_rebelo_sousa,2014-03-03,carvalho,novo,desporto,dia,catarina,quer,anos,fcportoworld,del,ainda
cristiano_ronaldo,2014-10-04,ps,del,contra,bruno,desporto,es,futebol,pais,hoje,sobre
passos_coelho,2014-03-20,contra,jogo,doce,vez,catarina,el,portugal,la,amp,vitoria
passos_coelho,2014-04-03,carregabenfica,fcporto,passos,ps,sporting,dia,bento,costa,catarina,lisboa
publico,2014-09-25,santo,diz,mundo,video,sporting,ronaldo,diario,ver,contra,sousa
vladimir_putin,2015-09-01,es,futebol,paulo,jogo,jeronimo,ver,sousa,ps,catarina,quer
futebol_porto,2015-08-22,bruno,santo,lisboa,todos,tao,pinto,catarina,futebol,pais,ronaldo
alemanha,2014-03-12,melhor,rui,cristiano,carvalho,desporto,bruno,el,grande,aqui,benfica
espanha,2015-03-03,sempre,silva,joao,jeronimo,portugal,porque,el,fcportoworld,sobre,fcporto
passos_coelho,2015-02-24,vai,es,todos,ainda,del,desporto,jorge,porque,pingo,portas
nos,2015-06-01,espirito,pingo,marcelo,video,governo,melhor,es,dia,portugal,nada
continente,2014-06-01,pingo,porto,ir,en,jesus,mundo,jogo,coelho,vitoria,sobre
pingo_doce,2014-09-25,dia,porto,amp,jornal,jesus,ps,marcelo,dizer,lisboa,mendes
paris,2014-09-05,nada,anos,dia,el,jorge,bento,dizer,ronaldo,sobre,melhor
julen_lopetegui,2015-06-13,pais,en,jorge,sobre,carvalho,dia,contra,ronaldo,aqui,desporto
